政府統計コード	政府統計名	作成機関	担当部局課室名	統計の種類	提供周期	データ一覧	統計表ファイル	データベース	作成機関情報
00600630	住宅市場動向調査	国土交通省	住宅局住宅政策課	一般統計	年	?登録あり	〇	〇	?作成機関情報
00600640	空き家所有者実態調査	国土交通省	住宅局住宅政策課	一般統計	５年	?登録あり	〇	〇	?作成機関情報
00600650	住生活総合調査	国土交通省	住宅局住宅政策課	一般統計	５年	?登録あり	〇	〇	?作成機関情報
00600660	住宅市場動向調査	国土交通省	住宅局住宅生産課	その他	年	-	-	-	-
00600670	民間住宅ローンの実態に関する調査	国土交通省	住宅局総務課民間事業支援調整室	一般統計	年	?登録あり	〇	-	?作成機関情報
00600680	鉄道事業実績報告、軌道事業実績報告	国土交通省	鉄道局総務課鉄道サービス政策室	業務統計	年	-	-	-	-
00600690	幹線鉄道旅客流動実態調査	国土交通省	鉄道局施設課	一般統計	５年	?登録あり	〇	-	?作成機関情報
00600700	自動車保有車両数	国土交通省	自動車局自動車情報課	業務統計	月	?登録あり	〇	-	?作成機関情報
00600710	自動車分解整備事業実態調査	国土交通省	自動車局整備課	一般統計	年	?登録あり	〇	-	?作成機関情報
00600720	外航船舶運航実績報告	国土交通省	海事局外航課	業務統計	年	-	-	-	-
00600730	輸送実績報告書	国土交通省	海事局内航課	業務統計	年	?登録あり	〇	-	?作成機関情報
00600740	内航海運業事業概況報告書	国土交通省	海事局内航課	業務統計	年	-	-	-	-
00600750	舶用工業統計	国土交通省	海事局船舶産業課	業務統計	月、年	?登録あり	〇	-	?作成機関情報
00600760	船員異動状況調査	国土交通省	海事局船員政策課	一般統計	年	?登録あり	〇	-	?作成機関情報
00600770	船員単位労働組合基本調査	国土交通省	海事局船員政策課	業務統計	２年	?登録あり	〇	-	?作成機関情報
00600780	全国輸出入コンテナ貨物流動調査	国土交通省	港湾局計画課企画室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00600790	港湾施設現況調査	国土交通省	港湾局計画課企画室	その他	年	-	-	-	-
00600800	航空旅客動態調査	国土交通省	航空局航空ネットワーク部空港計画課空港施設高度利用推進室	一般統計	２年及び全国幹線旅客純流動調査が実施される年	?登録あり	〇	-	?作成機関情報
00600810	航空貨物動態調査	国土交通省	航空局航空ネットワーク部空港計画課空港施設高度利用推進室	一般統計	２年	?登録あり	〇	-	?作成機関情報
00600820	国際航空旅客動態調査	国土交通省	航空局航空ネットワーク部空港計画課空港施設高度利用推進室	一般統計	年	?登録あり	〇	-	?作成機関情報
00600830	国際航空貨物動態調査	国土交通省	航空局航空ネットワーク部空港計画課空港施設高度利用推進室	一般統計	２年	?登録あり	〇	-	?作成機関情報
00600840	北海道法人企業投資状況調査	国土交通省	北海道局参事官	一般統計	年	?登録あり	〇	-	?作成機関情報
00600850	公共測量実態調査	国土交通省	国土地理院企画部測量指導課	業務統計	不定期	?登録あり	〇	-	?作成機関情報
00600860	輸送指数	国土交通省	総合政策局情報政策課	加工統計	月	?登録あり	〇	-	?作成機関情報
00600870	建設投資見通し	国土交通省	総合政策局情報政策課建設経済統計調査室	加工統計	年	?登録あり	〇	〇	?作成機関情報
00600880	設備工事業に係る受注高調査	国土交通省	総合政策局情報政策課建設経済統計調査室	加工統計	月	?登録あり	〇	〇	?作成機関情報
00600890	マンション総合調査	国土交通省	総合政策局情報政策課建設経済統計調査室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00600900	建築物リフォーム・リニューアル調査	国土交通省	総合政策局情報政策課建設経済統計調査室	一般統計	四半期	?登録あり	〇	-	?作成機関情報
00600910	災害統計	国土交通省	水管理・国土保全局防災課	業務統計	年	?登録あり	〇	〇	?作成機関情報
00600920	建設部門分析用産業連関表	国土交通省	総合政策局情報政策課建設経済統計調査室	加工統計	５年	?登録あり	〇	-	?作成機関情報
00600930	バルク貨物流動調査	国土交通省	港湾局計画課企画室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00600940	建築物ストック統計	国土交通省	総合政策局情報政策課建設経済統計調査室	加工統計	年	?登録あり	〇	-	?作成機関情報
00600950	建設部門地域間産業連関表	国土交通省	総合政策局情報政策課建設経済統計調査室	加工統計	５年	?登録あり	〇	-	?作成機関情報
00600960	ユニットロード貨物流動調査	国土交通省	港湾局計画課企画室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00600970	建設工事進捗率調査	国土交通省	総合政策局情報政策課建設経済統計調査室	一般統計	１回限り	?登録あり	〇	-	?作成機関情報
00600980	土地保有・動態調査	国土交通省	土地・建設産業局企画課	一般統計	年	?登録あり	〇	-	?作成機関情報
00601010	旅行・観光消費動向調査	観光庁	観光戦略課観光統計調査室	一般統計	四半期	?登録あり	〇	〇	?作成機関情報
00601020	宿泊旅行統計調査	観光庁	観光戦略課観光統計調査室	一般統計	月	?登録あり	〇	〇	?作成機関情報
00601030	訪日外国人消費動向調査	観光庁	観光戦略課観光統計調査室	一般統計	四半期	?登録あり	〇	〇	?作成機関情報
00601040	観光地域経済調査	観光庁	観光戦略課観光統計調査室	一般統計	１回限り	?登録あり	〇	〇	?作成機関情報
00604010	海上保安統計年報	海上保安庁	総務部政務課	業務統計	年	?登録あり	〇	-	?作成機関情報
00650101	一般廃棄物処理事業実態調査	環境省	環境再生・資源循環局廃棄物適正処理推進課	一般統計	年	?登録あり	〇	-	?作成機関情報
00650102	産業廃棄物排出・処理状況調査	環境省	環境再生・資源循環局廃棄物規制課	一般統計	年	?登録あり	〇	〇	?作成機関情報
00650103	自然公園等利用者数調	環境省	自然環境局国立公園課国立公園利用推進室	一般統計	年	?登録あり	〇	-	?作成機関情報
00650104	エコツーリズムガイド等の国内実態調査	環境省	自然環境局国立公園課国立公園利用推進室	一般統計	１回限り	?登録あり	〇	-	?作成機関情報
00650105	産業廃棄物処理業実態調査	環境省	環境再生・資源循環局廃棄物規制課	一般統計	－	?登録あり	〇	-	?作成機関情報
00650201	環境にやさしい企業行動調査	環境省	大臣官房環境経済課	一般統計	年	?登録あり	〇	-	?作成機関情報
00650202	大気汚染物質排出量総合調査	環境省	水・大気環境局大気環境課	一般統計	３年	?登録あり	〇	-	?作成機関情報
00650203	水質汚濁物質排出量総合調査	環境省	水・大気環境局水環境課	一般統計	２年	?登録あり	〇	〇	?作成機関情報
00650204	環境経済観測調査	環境省	大臣官房環境計画課環境経済政策調査室	一般統計	半年	?登録あり	〇	〇	?作成機関情報
00650205	環境投資等実態調査	環境省	大臣官房環境経済課	一般統計	年	?登録あり	〇	-	?作成機関情報
00650301	振動規制法施行状況調査	環境省	水・大気環境局大気環境課大気生活環境室	業務統計	年	?登録あり	〇	-	?作成機関情報
00650302	騒音規制法施行状況調査	環境省	水・大気環境局大気環境課大気生活環境室	業務統計	年	?登録あり	〇	〇	?作成機関情報
00650303	悪臭防止法施行状況調査	環境省	水・大気環境局大気環境課大気生活環境室	業務統計	年	?登録あり	〇	〇	?作成機関情報
00650304	水質汚濁防止法等の施行状況調査	環境省	水・大気環境局水環境課	業務統計	年	?登録あり	〇	-	?作成機関情報
00650305	大気汚染防止法施行状況調査	環境省	水・大気環境局大気環境課	業務統計	年	?登録あり	〇	〇	?作成機関情報
00650401	家庭からの二酸化炭素排出量の推計に係る実態調査 試験調査	環境省	地球環境局総務課脱炭素社会移行推進室	一般統計	１回限り	?登録あり	〇	〇	?作成機関情報
00650402	環境保健サーベイランス調査	環境省	"大臣官房環境保健部
環境保健企画管理課保健業務室"	一般統計	年	?登録あり	〇	〇	?作成機関情報
00650403	水銀大気排出実態調査	環境省	水・大気環境局大気環境課	一般統計	１回限り	?登録あり	〇	-	?作成機関情報
00650404	動物愛護管理基本指針フォローアップ等検討調査	環境省	自然環境局総務課動物愛護管理室	一般統計	１回限り	?登録あり	〇	-	?作成機関情報
00650405	食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査	環境省	環境再生・資源循環局総務課リサイクル推進室	一般統計	年	?登録あり	〇	〇	?作成機関情報
00650406	産業廃棄物等からの水銀回収等に関する調査	環境省	大臣官房環境保健部環境保健企画管理課水銀対策推進室	一般統計	１回限り	?登録あり	〇	-	?作成機関情報
00650407	容器包装廃棄物の収集運搬・選別保管費用等に関するアンケート調査	環境省	環境再生・資源循環局総務課リサイクル推進室	一般統計	３年	?登録あり	〇	-	?作成機関情報
00650408	家庭部門のCO2排出実態統計調査	環境省	地球環境局総務課脱炭素社会移行推進室	一般統計	年	?登録あり	〇	-	?作成機関情報
00650409	リサイクル産業実態調査	環境省	廃棄物規制課	一般統計	１回限り	-	-	-	-
00700001	駐留軍関係離職者帰すう状況調査	防衛省	地方協力局労務管理課	一般統計	年	?登録あり	〇	〇	?作成機関情報
00700002	留学生受入実績	防衛省	防衛省人事教育局人材育成課	業務統計	年	?登録あり	〇	-	?作成機関情報
00700003	自衛官などの応募及び採用状況	防衛省	防衛省人事教育局人材育成課	業務統計	年	-	-	-	-
00700004	自衛官の定員および現員	防衛省	防衛省人事教育局人材育成課	業務統計	年	-	-	-	-
00700005	退職自衛官の地方公共団体防災関係部局における在職状況	防衛省	防衛省人事教育局人材育成課	業務統計	年	-	-	-	-
